"FROM","TO","rcarbon","MODEL"
931,1171,"positive","uniform"
276,584,"negative","uniform"
944,1138,"positive","linear"
351,590,"negative","linear"
346,535,"negative","exponential"
1615,1712,"negative","exponential"
1735,1826,"negative","exponential"
1934,1899,"negative","exponential"
