"FROM","TO","rcarbon","MODEL"
-834,-116,"positive","linear"
-830,-99,"positive","exponential"
-429,-151,"positive","uniform"
-92,353,"positive","exponential"
-90,361,"positive","linear"
-21,366,"positive","uniform"
543,1074,"negative","linear"
553,1051,"negative","exponential"
577,1046,"negative","uniform"
1264,1685,"negative","linear"
1274,1469,"negative","exponential"
1492,1708,"negative","exponential"
